# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
merge_headon_flip_d8_v1_lvl3down_t100_r03500	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0	yes		n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_v1_lvl5_t100_r02200	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	64.0	128	100.0	yes		n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_v1_lvl5chk_t100_r02200	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	64.0	128	100.0	yes		n/a	ok	unknown	ok
merge_headon_flip_d8_v1_lvl5from0_scalar_t100	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	64.0	128	100.0		2.8827157680e-03	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_v1_t100	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.8827157680e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_v1c_eps_m1e2_t100	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	-0.01	0	3	64.0	128	100.0		2.9792641527e-03	took (t=0 data differs from unseeded merge_headon_flip_d8_eta4_t030)	ok	unknown	ok
merge_headon_flip_d8_v1c_eps_p1e2_t100	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.01	0	3	64.0	128	100.0		3.0999571000e-03	took (t=0 data differs from unseeded merge_headon_flip_d8_eta4_t030)	ok	unknown	ok
merge_headon_flip_d8_v1c_fillnarrow_t100_r02200	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0	yes		n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_v1c_latefreeze_t100	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.8827157680e-03	n/a	ok	unknown	ok
place_d10_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.9435111171e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
