# longest merger arm p=0.12, all Weyl segments stitched (r03000 joined 0-50.5 | m9b_fillwide80 50.5-79.5 | m9b_fillwide100 80.5-97)
# time Re_m0(R14) Im_m0(R14) Re_m2(R14) Im_m2(R14) Re_m0(R30) Im_m0(R30) Re_m2(R30) Im_m2(R30)
4.5000000000e+01 2.9151211145e-03 2.6605150374e-13 -2.6050860253e-03 -1.4471354297e-02 6.0397129875e-03 -2.0924411597e-14 -8.3287256837e-03 1.8741378702e-03
4.5500000000e+01 1.3062301495e-03 4.1829026340e-13 -2.0370866571e-04 -1.4521407092e-02 7.0008596658e-03 -4.0272633581e-14 -9.5568725883e-03 1.7463810174e-03
4.6000000000e+01 -3.2962173207e-04 5.0703782535e-13 2.2181808457e-03 -1.4450680248e-02 7.9253935065e-03 -5.6552389775e-14 -1.0741098818e-02 1.6008749879e-03
4.6500000000e+01 -1.9549725362e-03 6.4260192829e-13 4.6374275263e-03 -1.4256552087e-02 8.8019218976e-03 -5.3132099321e-14 -1.1873377393e-02 1.4365774124e-03
4.7000000000e+01 -3.5590307454e-03 2.8732828698e-13 7.0319260767e-03 -1.3938625196e-02 9.6266197859e-03 -1.7143021469e-14 -1.2945752603e-02 1.2528484314e-03
4.7500000000e+01 -5.1476083991e-03 7.3111801308e-14 9.3852911420e-03 -1.3498187623e-02 1.0400530932e-02 3.1250649549e-14 -1.3950464130e-02 1.0496238109e-03
4.8000000000e+01 -6.7001848262e-03 -6.2172745522e-13 1.1673015295e-02 -1.2938295766e-02 1.1119430604e-02 3.9241503317e-14 -1.4882111566e-02 8.2662280736e-04
4.8500000000e+01 -8.2072040586e-03 -1.2707203589e-12 1.3881717225e-02 -1.2258812739e-02 1.1775411954e-02 1.5704727761e-14 -1.5735130458e-02 5.8277423063e-04
4.9000000000e+01 -9.6498874086e-03 -1.4893082292e-12 1.5997494400e-02 -1.1465523465e-02 1.2364611964e-02 9.6554132690e-15 -1.6504682291e-02 3.1732022377e-04
4.9500000000e+01 -1.1007184340e-02 -1.1419404579e-12 1.8002949774e-02 -1.0565741399e-02 1.2885813798e-02 5.0230154915e-15 -1.7189278160e-02 2.8821887352e-05
5.0000000000e+01 -1.2298079870e-02 -9.5224814768e-13 1.9879329915e-02 -9.5677189694e-03 1.3339827264e-02 -7.8326830698e-15 -1.7787775571e-02 -2.8511485053e-04
5.0500000000e+01 -1.3509687384e-02 4.7886039006e-13 2.1610490228e-02 -8.4732194828e-03 1.3723750335e-02 -2.3502978941e-14 -1.8296385010e-02 -6.2472335815e-04
5.1000000000e+01 -1.4627382526e-02 3.1738010623e-13 2.3184607447e-02 -7.2878536595e-03 1.4032396499e-02 -1.1351749212e-14 -1.8711660535e-02 -9.8922053939e-04
5.1500000000e+01 -1.5653302699e-02 9.6326024685e-13 2.4598104312e-02 -6.0231053083e-03 1.4268747420e-02 -3.8023122655e-14 -1.9030390697e-02 -1.3781144986e-03
5.2000000000e+01 -1.6542668584e-02 1.3497172240e-12 2.5839864591e-02 -4.6925447570e-03 1.4430992619e-02 -7.6792464396e-14 -1.9249462520e-02 -1.7899238957e-03
5.2500000000e+01 -1.7323491874e-02 1.4506058092e-12 2.6902514718e-02 -3.3018782274e-03 1.4515573175e-02 -6.5885814057e-14 -1.9367234555e-02 -2.2253474745e-03
5.3000000000e+01 -1.8017206835e-02 1.1707907838e-12 2.7762479830e-02 -1.8642063865e-03 1.4515821402e-02 4.1058617687e-14 -1.9379975608e-02 -2.6831146064e-03
5.3500000000e+01 -1.8606028965e-02 3.3818583581e-13 2.8427797645e-02 -3.9244421384e-04 1.4432810255e-02 9.5893345348e-14 -1.9285100746e-02 -3.1610921877e-03
5.4000000000e+01 -1.9055199762e-02 7.4276190735e-13 2.8898979330e-02 1.1067758780e-03 1.4273022280e-02 5.9430508203e-14 -1.9079761989e-02 -3.6571715174e-03
5.4500000000e+01 -1.9366859701e-02 3.8395999433e-13 2.9161239937e-02 2.6168944159e-03 1.4036169530e-02 3.8801740751e-14 -1.8761918367e-02 -4.1696304578e-03
5.5000000000e+01 -1.9583522963e-02 1.9703402118e-12 2.9213357997e-02 4.1233486041e-03 1.3718669323e-02 4.7349641501e-14 -1.8328773993e-02 -4.6967714607e-03
5.5500000000e+01 -1.9702831140e-02 6.5723472400e-13 2.9061597518e-02 5.6211067554e-03 1.3317112778e-02 -2.6488109395e-14 -1.7779708290e-02 -5.2343760583e-03
5.6000000000e+01 -1.9689390950e-02 9.6639429586e-13 2.8711398206e-02 7.1021580859e-03 1.2833752188e-02 -9.0867941223e-14 -1.7115123490e-02 -5.7769830670e-03
5.6500000000e+01 -1.9523853640e-02 1.1070580826e-12 2.8165467079e-02 8.5455468261e-03 1.2270063212e-02 -7.7842687842e-14 -1.6335441592e-02 -6.3185374828e-03
5.7000000000e+01 -1.9259064961e-02 9.0104013389e-13 2.7410925997e-02 9.9398981980e-03 1.1624789696e-02 -1.1567069222e-14 -1.5439992308e-02 -6.8551320531e-03
5.7500000000e+01 -1.8917640027e-02 5.9252974163e-13 2.6457282199e-02 1.1260977763e-02 1.0894587032e-02 2.5056784650e-14 -1.4427779327e-02 -7.3831696555e-03
5.8000000000e+01 -1.8466073641e-02 4.7954972241e-13 2.5315681345e-02 1.2509667591e-02 1.0081104933e-02 -3.8291983618e-14 -1.3298946818e-02 -7.8966671307e-03
5.8500000000e+01 -1.7872562383e-02 1.2728074481e-12 2.4004102445e-02 1.3674620371e-02 9.1920387869e-03 -1.4515702508e-13 -1.2056183991e-02 -8.3885717901e-03
5.9000000000e+01 -1.7160600545e-02 1.0640776590e-12 2.2532967336e-02 1.4749074501e-02 8.2299158930e-03 -1.9588447939e-13 -1.0705543345e-02 -8.8510594917e-03
5.9500000000e+01 -1.6376517045e-02 2.2701488177e-12 2.0912880821e-02 1.5713494146e-02 7.1987908218e-03 -1.3638401474e-13 -9.2538364366e-03 -9.2775643036e-03
6.0000000000e+01 -1.5507818402e-02 7.5597586188e-13 1.9136857306e-02 1.6557287955e-02 6.1011521098e-03 3.8669006453e-14 -7.7084205248e-03 -9.6632990366e-03
6.0500000000e+01 -1.4564779738e-02 -9.3169748175e-13 1.7224251695e-02 1.7275400574e-02 4.9447673093e-03 1.9193751762e-13 -6.0739344621e-03 -1.0001450201e-02
6.1000000000e+01 -1.3515403552e-02 -3.3734296959e-12 1.5191674586e-02 1.7862911079e-02 3.7354438896e-03 2.1848909096e-13 -4.3577399432e-03 -1.0286270973e-02
6.1500000000e+01 -1.2392472150e-02 -4.8098813479e-12 1.3048924777e-02 1.8305374539e-02 2.4806879386e-03 1.1032899752e-13 -2.5678251216e-03 -1.0511248455e-02
6.2000000000e+01 -1.1178464357e-02 -6.5125180774e-12 1.0823809884e-02 1.8605453240e-02 1.1860952781e-03 -3.4301556346e-14 -7.1825158765e-04 -1.0670504859e-02
6.2500000000e+01 -9.9283926855e-03 -6.3355416426e-12 8.5475749053e-03 1.8766117722e-02 -1.3533009080e-04 -1.0012844232e-14 1.1801779236e-03 -1.0759422679e-02
6.3000000000e+01 -8.6438383369e-03 -6.2589134992e-12 6.2242160220e-03 1.8783466764e-02 -1.4752025418e-03 6.8713675903e-14 3.1155098884e-03 -1.0774875258e-02
6.3500000000e+01 -7.2909507105e-03 -2.5888611865e-12 3.8464276761e-03 1.8631218100e-02 -2.8269427317e-03 6.2276361029e-14 5.0775018503e-03 -1.0711186339e-02
6.4000000000e+01 -5.8848806503e-03 -1.0322076174e-12 1.4489387561e-03 1.8315179977e-02 -4.1915966515e-03 2.4006777198e-14 7.0532664024e-03 -1.0562205285e-02
6.4500000000e+01 -4.4322776984e-03 2.0548683198e-13 -9.3593950565e-04 1.7861235416e-02 -5.5629995016e-03 4.1777672427e-14 9.0284061560e-03 -1.0324926816e-02
