# time  x_neck  R_neck  R_neck_flat  h22_neck  alpha_neck  rate_neck  M_MS_neck  phi_neck  x_hl  R_hl  alpha_hl  M_hl  x_hk  R_hk  alpha_hk  M_hk
2.4600000000e+02  4.1500000000e+01  1.4836148197e+01  1.0599019638e+01  1.9188429262e+00  1.4424460269e-02  4.1700999614e-02  1.0095267906e+01  -7.5486790673e-01  4.0931242546e+01  1.4872860203e+01  1.4315394832e-02  7.2992837704e+00  4.4311127492e+01  1.5790117065e+01  1.3195906343e-02  1.6693426136e+00
2.4800000000e+02  4.2500000000e+01  1.4860985157e+01  1.0615360231e+01  1.9567440308e+00  1.4482259851e-02  8.5998516545e-02  1.6583455927e+01  -7.3751850083e-01  4.1295247669e+01  1.4888365799e+01  1.4345155082e-02  7.3917429626e+00  4.4678058613e+01  1.5907251510e+01  1.3091807197e-02  7.7772065185e+00
2.5000000000e+02  4.2500000000e+01  1.4875577391e+01  1.0600571416e+01  1.9479229341e+00  1.4497445630e-02  6.2851681079e-02  1.3500326808e+01  -7.4574241362e-01  4.1595573100e+01  1.4909866690e+01  1.4371932127e-02  7.3526780243e+00  4.4986031556e+01  1.5988297572e+01  1.3029094131e-02  -7.5595005433e-01
2.5200000000e+02  4.2500000000e+01  1.4900883304e+01  1.0604364586e+01  1.9393375041e+00  1.4508048321e-02  4.5969284729e-02  1.0929467866e+01  -7.5297714329e-01  4.1831493385e+01  1.4939492758e+01  1.4391266999e-02  7.3178378722e+00  4.5126877883e+01  1.5831618328e+01  1.3304047861e-02  -2.5064898949e+00
2.5400000000e+02  4.2500000000e+01  1.4934041171e+01  1.0622377144e+01  1.9309203724e+00  1.4516792143e-02  3.3722934595e-02  8.8506573664e+00  -7.5939526137e-01  4.2157713301e+01  1.4958952686e+01  1.4447202282e-02  7.3924041583e+00  4.5320132228e+01  1.5721288350e+01  1.3529842677e-02  1.9617636271e+00
2.5600000000e+02  4.3500000000e+01  1.4946729234e+01  1.0616085411e+01  1.9692331263e+00  1.4634944335e-02  7.2636036511e-02  1.4885405393e+01  -7.4319153111e-01  4.2530248320e+01  1.4972137008e+01  1.4525198172e-02  7.4383242220e+00  4.5681958336e+01  1.5830760334e+01  1.3462766533e-02  2.9491830810e+00
2.5800000000e+02  4.3500000000e+01  1.4967362691e+01  1.0610917756e+01  1.9610465010e+00  1.4674635379e-02  5.2898944681e-02  1.2112367197e+01  -7.5063848748e-01  4.2728191992e+01  1.5004911791e+01  1.4557739660e-02  7.3334389607e+00  4.5946173210e+01  1.5866130558e+01  1.3489012054e-02  -4.0369123638e+00
2.6000000000e+02  4.3500000000e+01  1.4996945982e+01  1.0621397344e+01  1.9530246972e+00  1.4710126402e-02  3.8501362800e-02  9.8034427956e+00  -7.5722288978e-01  4.3003860121e+01  1.5029331280e+01  1.4624174044e-02  7.3785194060e+00  4.6151930477e+01  1.5797569874e+01  1.3662492914e-02  -2.5125369564e+00
2.6200000000e+02  4.4500000000e+01  1.5022395805e+01  1.0635795228e+01  1.9919162565e+00  1.4829648590e-02  8.6201999410e-02  1.6617561119e+01  -7.4003761853e-01  4.3380157660e+01  1.5042351849e+01  1.4747322894e-02  7.4892589933e+00  4.6402787157e+01  1.5738355267e+01  1.3838289694e-02  4.6793080139e+00
2.6400000000e+02  4.4500000000e+01  1.5037284341e+01  1.0620776646e+01  1.9839837297e+00  1.4957956383e-02  6.2908312884e-02  1.3655849531e+01  -7.4775650200e-01  4.3624416351e+01  1.5069269864e+01  1.4883547014e-02  7.3874904841e+00  4.6757036220e+01  1.5879009336e+01  1.3757764579e-02  -1.7839016542e+00
2.6600000000e+02  4.4500000000e+01  1.5062533732e+01  1.0622968349e+01  1.9762809909e+00  1.5125089465e-02  4.5794319994e-02  1.1111704558e+01  -7.5453033610e-01  4.3847606110e+01  1.5098728840e+01  1.5057039177e-02  7.3718031772e+00  4.6991471071e+01  1.5876011809e+01  1.3919304827e-02  -5.0564895247e+00
2.6800000000e+02  4.4500000000e+01  1.5095315296e+01  1.0638302166e+01  1.9687938629e+00  1.5315163264e-02  3.3351302756e-02  9.0239244213e+00  -7.6051205827e-01  4.4152924941e+01  1.5119403974e+01  1.5270089265e-02  7.4598532545e+00  4.7228941687e+01  1.5838141084e+01  1.4181569944e-02  -5.7815237812e-01
2.7000000000e+02  4.5500000000e+01  1.5113766539e+01  1.0636000102e+01  2.0088636723e+00  1.5536926548e-02  7.7508198109e-02  1.5678595776e+01  -7.4400048938e-01  4.4519382683e+01  1.5133090461e+01  1.5494936917e-02  7.5298915075e+00  4.7530017085e+01  1.5832288260e+01  1.4426281161e-02  6.4528471550e+00
2.7200000000e+02  4.5500000000e+01  1.5133638244e+01  1.0627372944e+01  2.0019598371e+00  1.5730586909e-02  5.7010977009e-02  1.2929136363e+01  -7.5099616446e-01  4.4692639728e+01  1.5167383183e+01  1.5657564302e-02  7.4025852613e+00  4.7827865751e+01  1.5955824419e+01  1.4461676459e-02  -4.7293801404e+00
2.7400000000e+02  4.5500000000e+01  1.5162055437e+01  1.0632947846e+01  1.9953272290e+00  1.5878155249e-02  4.1762943003e-02  1.0573183620e+01  -7.5718926531e-01  4.4926754525e+01  1.5195338987e+01  1.5805094019e-02  7.4318591503e+00  4.8055456764e+01  1.5946033767e+01  1.4662164401e-02  -4.5472649889e+00
2.7600000000e+02  4.5500000000e+01  1.5196644479e+01  1.0649691228e+01  1.9888241599e+00  1.5974519170e-02  3.0468678533e-02  8.6353786788e+00  -7.6272529519e-01  4.5244534446e+01  1.5214565502e+01  1.5934105585e-02  7.5340413697e+00  4.8312052459e+01  1.5923821542e+01  1.4845945912e-02  1.9565860242e+00
2.7800000000e+02  4.6500000000e+01  1.5212412011e+01  1.0636575137e+01  2.0306676082e+00  1.6073246344e-02  7.3051090280e-02  1.5225232564e+01  -7.4663852116e-01  4.5553637285e+01  1.5234405095e+01  1.6015530940e-02  7.5274123456e+00  4.8621900420e+01  1.5983661534e+01  1.4859581452e-02  1.4179238363e+00
2.8000000000e+02  4.6500000000e+01  1.5234497234e+01  1.0631899380e+01  2.0241875882e+00  1.6095057549e-02  5.3778446617e-02  1.2565913166e+01  -7.5325484924e-01  4.5733231093e+01  1.5267710126e+01  1.6024224833e-02  7.4429759059e+00  4.8862914353e+01  1.6031663278e+01  1.4835051473e-02  -5.6743091982e+00
2.8200000000e+02  4.6500000000e+01  1.5263974681e+01  1.0640509749e+01  2.0176162166e+00  1.6076988800e-02  3.9249298466e-02  1.0280543992e+01  -7.5917760266e-01  4.5976953266e+01  1.5294452983e+01  1.6017215750e-02  7.4923994463e+00  4.9091478565e+01  1.6021609507e+01  1.4864886557e-02  -3.7112273213e+00
2.8400000000e+02  4.7500000000e+01  1.5298801788e+01  1.0657547297e+01  2.0597620964e+00  1.6025671721e-02  9.3952519005e-02  1.7776977762e+01  -7.4171198447e-01  4.6308892661e+01  1.5312149475e+01  1.5999318455e-02  7.6016601930e+00  4.9358109537e+01  1.6003808081e+01  1.4889746911e-02  3.5144125397e+00
2.8600000000e+02  4.7500000000e+01  1.5312392727e+01  1.0641765251e+01  2.0527216650e+00  1.5978363554e-02  6.9529621355e-02  1.4865520158e+01  -7.4890461201e-01  4.6580557359e+01  1.5335645867e+01  1.5937244283e-02  7.5452418427e+00  4.9647530709e+01  1.6063237516e+01  1.4780244729e-02  -3.2629461833e-01
2.8800000000e+02  4.7500000000e+01  1.5335124928e+01  1.0641299643e+01  2.0456232913e+00  1.5890807791e-02  5.0884163104e-02  1.2241998099e+01  -7.5532673383e-01  4.6769219374e+01  1.5367406986e+01  1.5834337802e-02  7.4887873318e+00  4.9875020593e+01  1.6091927052e+01  1.4690811843e-02  -5.8001052530e+00
2.9000000000e+02  4.7500000000e+01  1.5364683196e+01  1.0653250196e+01  2.0384081256e+00  1.5787204871e-02  3.6838778216e-02  9.9974460515e+00  -7.6109229098e-01  4.7026511422e+01  1.5392265339e+01  1.5740154274e-02  7.5536365744e+00  5.0110500938e+01  1.6085314221e+01  1.4641130555e-02  -3.0862806724e+00
2.9200000000e+02  4.8500000000e+01  1.5395370137e+01  1.0664108672e+01  2.0798337707e+00  1.5677060442e-02  8.9241540750e-02  1.7328883725e+01  -7.4421873501e-01  4.7378092147e+01  1.5407646111e+01  1.5665066355e-02  7.6694178374e+00  5.0385670997e+01  1.6069744460e+01  1.4608129287e-02  4.4669530596e+00
2.9400000000e+02  4.8500000000e+01  1.5409846882e+01  1.0652936440e+01  2.0721471052e+00  1.5596694980e-02  6.5615383533e-02  1.4436909901e+01  -7.5120919752e-01  4.7611045477e+01  1.5434392353e+01  1.5561251932e-02  7.5654090119e+00  5.0659386423e+01  1.6122706464e+01  1.4478741222e-02  -1.2146484733e+00
2.9600000000e+02  4.8500000000e+01  1.5432932290e+01  1.0656094614e+01  2.0644673514e+00  1.5483848258e-02  4.7661932019e-02  1.1855132896e+01  -7.5744898118e-01  4.7811527743e+01  1.5464126935e+01  1.5430676274e-02  7.5364886842e+00  5.0883457064e+01  1.6144451357e+01  1.4384927516e-02  -5.7574989331e+00
2.9800000000e+02  4.8500000000e+01  1.5462400198e+01  1.0670782101e+01  2.0567448489e+00  1.5343008403e-02  3.4204520848e-02  9.6669359614e+00  -7.6305388675e-01  4.8085800539e+01  1.5486620125e+01  1.5299488049e-02  7.6166620575e+00  5.1126483657e+01  1.6141555397e+01  1.4310626161e-02  -2.5153470407e+00
3.0000000000e+02  4.9500000000e+01  1.5488447991e+01  1.0675044760e+01  2.0973640263e+00  1.5205300654e-02  8.3989355632e-02  1.6788605315e+01  -7.4678501708e-01  4.8461341315e+01  1.5499166073e+01  1.5187035706e-02  7.7387636595e+00  5.1409269358e+01  1.6127681227e+01  1.4242052532e-02  5.2742511033e+00
3.0200000000e+02  4.9500000000e+01  1.5503734843e+01  1.0667867119e+01  2.0892181236e+00  1.5090327547e-02  6.1299862639e-02  1.3933207333e+01  -7.5357526756e-01  4.8647726145e+01  1.5529528036e+01  1.5050909144e-02  7.5865795720e+00  5.1669202006e+01  1.6174677865e+01  1.4086424335e-02  -1.8557456411e+00
