#   time = 90.140000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.8726646   0.0000000    4.0533384204e-04   -9.2242200749e-05
   0.8726646   0.2617994    3.0599179896e-04    1.8282486034e-04
   0.8726646   0.5235988    5.3727628707e-05    6.8617529971e-04
   0.8726646   0.7853982   -4.5469371053e-04    6.7407680040e-04
   0.8726646   1.0471976   -7.8371485548e-04    4.4516435548e-04
   0.8726646   1.3089969   -7.2323224957e-04   -1.2099339105e-06
   0.8726646   1.5707963   -7.5055379607e-04   -1.8668262638e-04
   0.8726646   1.8325957   -3.5479421170e-04   -2.4512354744e-04
   0.8726646   2.0943951   -2.8960369459e-04   -3.4747614959e-04
   0.8726646   2.3561945   -1.3663437417e-04   -4.1895492085e-04
   0.8726646   2.6179939    2.6558341864e-05   -3.4234451009e-04
   0.8726646   2.8797933    2.3502196531e-04   -2.9780656792e-04
   0.8726646   3.1415927    4.9611049997e-04   -9.8127479286e-05
   0.8726646   3.4033920    3.0882805393e-04    1.7922826320e-04
   0.8726646   3.6651914    5.9853943226e-05    6.9530028819e-04
   0.8726646   3.9269908   -4.4896359326e-04    6.8027254597e-04
   0.8726646   4.1887902   -7.8753699749e-04    4.4707416283e-04
   0.8726646   4.4505896   -7.2691006090e-04   -8.3963881892e-07
   0.8726646   4.7123890   -7.5176620101e-04   -1.8700125520e-04
   0.8726646   4.9741884   -3.5722862089e-04   -2.4786525799e-04
   0.8726646   5.2359878   -2.8602832846e-04   -3.4547069577e-04
   0.8726646   5.4977871   -1.4182148863e-04   -4.2156293278e-04
   0.8726646   5.7595865    2.7313864305e-05   -3.4644457435e-04
   0.8726646   6.0213859    2.3618941585e-04   -2.9725532541e-04
   0.9599311   0.0000000    3.4139006618e-04   -1.3261323582e-04
   0.9599311   0.2617994    4.6066564778e-04    2.1154716615e-04
   0.9599311   0.5235988    7.5094386077e-05    5.7912313209e-04
   0.9599311   0.7853982   -4.8096547499e-04    6.8633084723e-04
   0.9599311   1.0471976   -7.7164415958e-04    5.3264308887e-04
   0.9599311   1.3089969   -6.4330021113e-04   -1.1697858126e-05
   0.9599311   1.5707963   -5.3580246891e-04   -2.0321789146e-04
   0.9599311   1.8325957   -4.0809291176e-04   -2.5350102861e-04
   0.9599311   2.0943951   -3.7124152475e-04   -4.7734263995e-04
   0.9599311   2.3561945   -1.0961894438e-04   -3.3714908239e-04
   0.9599311   2.6179939   -1.2171709488e-04   -2.6854831660e-04
   0.9599311   2.8797933    1.6470601710e-04   -2.8348401319e-04
   0.9599311   3.1415927    3.3522791285e-04   -1.3579869422e-04
   0.9599311   3.4033920    4.6316233892e-04    2.1186705346e-04
   0.9599311   3.6651914    6.4740676581e-05    5.7591858474e-04
   0.9599311   3.9269908   -4.7775725613e-04    6.8804682227e-04
   0.9599311   4.1887902   -7.7942343768e-04    5.5040444712e-04
   0.9599311   4.4505896   -6.4589709359e-04   -1.0726655133e-05
   0.9599311   4.7123890   -5.3704076445e-04   -2.0390637591e-04
   0.9599311   4.9741884   -4.0939934776e-04   -2.5467148885e-04
   0.9599311   5.2359878   -3.7021738865e-04   -5.0021374195e-04
   0.9599311   5.4977871   -1.2257585129e-04   -3.3448988265e-04
   0.9599311   5.7595865   -1.3165170383e-04   -2.7114329526e-04
   0.9599311   6.0213859    1.6361170648e-04   -2.8385241147e-04
   1.0471976   0.0000000    3.4202830862e-04   -1.6026643195e-04
   1.0471976   0.2617994    4.9749857072e-04    2.4859008682e-04
   1.0471976   0.5235988    6.4499262889e-05    6.3185771507e-04
   1.0471976   0.7853982   -5.0907398730e-04    6.7298403805e-04
   1.0471976   1.0471976   -8.0865780269e-04    3.3916773285e-04
   1.0471976   1.3089969   -7.7759893521e-04    9.4504018871e-06
   1.0471976   1.5707963   -5.3385301298e-04   -1.4025994062e-04
   1.0471976   1.8325957   -4.3842057488e-04   -2.2313157851e-04
   1.0471976   2.0943951   -2.6822793966e-04   -2.3374472462e-04
